Country,Year,Child
Abkhazia,2000,nan
Abkhazia,2001,nan
Abkhazia,2002,nan
Abkhazia,2003,nan
Abkhazia,2004,nan
Abkhazia,2005,nan
Abkhazia,2006,nan
Abkhazia,2007,nan
Abkhazia,2008,nan
Abkhazia,2009,nan
Abkhazia,2010,nan
Afghanistan,2000,nan
Afghanistan,2001,nan
Afghanistan,2002,nan
Afghanistan,2003,nan
Afghanistan,2004,nan
Afghanistan,2005,nan
Afghanistan,2006,nan
Afghanistan,2007,nan
Afghanistan,2008,nan
Afghanistan,2009,nan
Afghanistan,2010,nan
Akrotiri and Dhekelia,2000,nan
Akrotiri and Dhekelia,2001,nan
Akrotiri and Dhekelia,2002,nan
Akrotiri and Dhekelia,2003,nan
Akrotiri and Dhekelia,2004,nan
Akrotiri and Dhekelia,2005,nan
Akrotiri and Dhekelia,2006,nan
Akrotiri and Dhekelia,2007,nan
Akrotiri and Dhekelia,2008,nan
Akrotiri and Dhekelia,2009,nan
Akrotiri and Dhekelia,2010,nan
Albania,2000,2119.0
Albania,2001,1545.0
Albania,2002,nan
Albania,2003,8445.0
Albania,2004,15754.0
Albania,2005,nan
Albania,2006,nan
Albania,2007,nan
Albania,2008,37763.0
Albania,2009,51566.0
Albania,2010,52014.0
Algeria,2000,313250.0
Algeria,2001,232345.0
Algeria,2002,190629.0
Algeria,2003,171799.0
Algeria,2004,135684.0
Algeria,2005,116195.0
Algeria,2006,104234.0
Algeria,2007,93561.0
Algeria,2008,74715.0
Algeria,2009,71175.0
Algeria,2010,81638.0
American Samoa,2000,nan
American Samoa,2001,nan
American Samoa,2002,nan
American Samoa,2003,nan
American Samoa,2004,nan
American Samoa,2005,nan
American Samoa,2006,nan
American Samoa,2007,nan
American Samoa,2008,nan
American Samoa,2009,nan
American Samoa,2010,nan
Andorra,2000,nan
Andorra,2001,nan
Andorra,2002,447.0
Andorra,2003,403.0
Andorra,2004,795.0
Andorra,2005,873.0
Andorra,2006,866.0
Andorra,2007,875.0
Andorra,2008,846.0
Andorra,2009,939.0
Andorra,2010,1092.0
Angola,2000,nan
Angola,2001,nan
Angola,2002,nan
Angola,2003,nan
Angola,2004,nan
Angola,2005,nan
Angola,2006,nan
Angola,2007,nan
Angola,2008,455393.0
Angola,2009,457837.0
Angola,2010,492581.0
Anguilla,2000,nan
Anguilla,2001,nan
Anguilla,2002,nan
Anguilla,2003,nan
Anguilla,2004,nan
Anguilla,2005,nan
Anguilla,2006,nan
Anguilla,2007,nan
Anguilla,2008,nan
Anguilla,2009,nan
Anguilla,2010,nan
Antigua and Barbuda,2000,nan
Antigua and Barbuda,2001,nan
Antigua and Barbuda,2002,nan
Antigua and Barbuda,2003,nan
Antigua and Barbuda,2004,nan
Antigua and Barbuda,2005,nan
Antigua and Barbuda,2006,nan
Antigua and Barbuda,2007,1112.0
Antigua and Barbuda,2008,1011.0
Antigua and Barbuda,2009,1060.0
Antigua and Barbuda,2010,1349.0
Argentina,2000,23417.0
Argentina,2001,6217.0
Argentina,2002,26289.0
Argentina,2003,23236.0
Argentina,2004,34210.0
Argentina,2005,36423.0
Argentina,2006,39901.0
Argentina,2007,37032.0
Argentina,2008,25120.0
Argentina,2009,nan
Argentina,2010,nan
Armenia,2000,nan
Armenia,2001,11793.0
Armenia,2002,21339.0
Armenia,2003,22730.0
Armenia,2004,20090.0
Armenia,2005,15529.0
Armenia,2006,10120.0
Armenia,2007,4343.0
Armenia,2008,nan
Armenia,2009,nan
Armenia,2010,nan
Aruba,2000,107.0
Aruba,2001,293.0
Aruba,2002,375.0
Aruba,2003,528.0
Aruba,2004,485.0
Aruba,2005,235.0
Aruba,2006,158.0
Aruba,2007,121.0
Aruba,2008,225.0
Aruba,2009,473.0
Aruba,2010,26.0
Australia,2000,102102.0
Australia,2001,106489.0
Australia,2002,95677.0
Australia,2003,96856.0
Australia,2004,93438.0
Australia,2005,90710.0
Australia,2006,89085.0
Australia,2007,60253.0
Australia,2008,56755.0
Australia,2009,53689.0
Australia,2010,53764.0
Austria,2000,nan
Austria,2001,nan
Austria,2002,nan
Austria,2003,nan
Austria,2004,nan
Austria,2005,nan
Austria,2006,nan
Austria,2007,nan
Austria,2008,nan
Austria,2009,nan
Austria,2010,nan
Azerbaijan,2000,84704.0
Azerbaijan,2001,102011.0
Azerbaijan,2002,102629.0
Azerbaijan,2003,110026.0
Azerbaijan,2004,98088.0
Azerbaijan,2005,95428.0
Azerbaijan,2006,92754.0
Azerbaijan,2007,89421.0
Azerbaijan,2008,84545.0
Azerbaijan,2009,74675.0
Azerbaijan,2010,78445.0
Bahamas,2000,4472.0
Bahamas,2001,nan
Bahamas,2002,nan
Bahamas,2003,nan
Bahamas,2004,2884.0
Bahamas,2005,1474.0
Bahamas,2006,1664.0
Bahamas,2007,399.0
Bahamas,2008,304.0
Bahamas,2009,856.0
Bahamas,2010,658.0
Bahrain,2000,1125.0
Bahrain,2001,399.0
Bahrain,2002,831.0
Bahrain,2003,729.0
Bahrain,2004,1259.0
Bahrain,2005,1652.0
Bahrain,2006,548.0
Bahrain,2007,nan
Bahrain,2008,nan
Bahrain,2009,nan
Bahrain,2010,nan
Bangladesh,2000,nan
Bangladesh,2001,nan
Bangladesh,2002,nan
Bangladesh,2003,nan
Bangladesh,2004,nan
Bangladesh,2005,nan
Bangladesh,2006,nan
Bangladesh,2007,nan
Bangladesh,2008,nan
Bangladesh,2009,nan
Bangladesh,2010,nan
Barbados,2000,1272.0
Barbados,2001,1458.0
Barbados,2002,1744.0
Barbados,2003,1853.0
Barbados,2004,2130.0
Barbados,2005,2057.0
Barbados,2006,1430.0
Barbados,2007,1426.0
Barbados,2008,1034.0
Barbados,2009,nan
Barbados,2010,nan
Belarus,2000,nan
Belarus,2001,28356.0
Belarus,2002,35785.0
Belarus,2003,34280.0
Belarus,2004,35180.0
Belarus,2005,38885.0
Belarus,2006,37380.0
Belarus,2007,36498.0
Belarus,2008,31577.0
Belarus,2009,26346.0
Belarus,2010,28505.0
Belgium,2000,5726.0
Belgium,2001,6021.0
Belgium,2002,6027.0
Belgium,2003,6945.0
Belgium,2004,6680.0
Belgium,2005,6566.0
Belgium,2006,7303.0
Belgium,2007,6832.0
Belgium,2008,6980.0
Belgium,2009,6720.0
Belgium,2010,6533.0
Belize,2000,4156.0
Belize,2001,4777.0
Belize,2002,4503.0
Belize,2003,4016.0
Belize,2004,2733.0
Belize,2005,2711.0
Belize,2006,2317.0
Belize,2007,2046.0
Belize,2008,2174.0
Belize,2009,1710.0
Belize,2010,1191.0
Benin,2000,nan
Benin,2001,nan
Benin,2002,nan
Benin,2003,170091.0
Benin,2004,156087.0
Benin,2005,150376.0
Benin,2006,128840.0
Benin,2007,nan
Benin,2008,110063.0
Benin,2009,nan
Benin,2010,nan
Bermuda,2000,nan
Bermuda,2001,nan
Bermuda,2002,nan
Bermuda,2003,nan
Bermuda,2004,nan
Bermuda,2005,116.0
Bermuda,2006,nan
Bermuda,2007,nan
Bermuda,2008,nan
Bermuda,2009,nan
Bermuda,2010,441.0
Bhutan,2000,45615.0
Bhutan,2001,42148.0
Bhutan,2002,nan
Bhutan,2003,nan
Bhutan,2004,nan
Bhutan,2005,27227.0
Bhutan,2006,21661.0
Bhutan,2007,nan
Bhutan,2008,15067.0
Bhutan,2009,11042.0
Bhutan,2010,10027.0
Bolivia,2000,49332.0
Bolivia,2001,64859.0
Bolivia,2002,57390.0
Bolivia,2003,57124.0
Bolivia,2004,55923.0
Bolivia,2005,nan
Bolivia,2006,47098.0
Bolivia,2007,62696.0
Bolivia,2008,nan
Bolivia,2009,80967.0
