country,evlenme_yas_orani
Afghanistan,17.83968
Albania,23.32651
Algeria,29.6
Angola,
Argentina,23.26396
Armenia,22.98603
Australia,28.93126
Austria,28.93757
Azerbaijan,23.88631
Bahamas,27.19277
Bahrain,25.9046
Bangladesh,18.67
Barbados,31.76804
Belarus,22.7772
Belgium,30.34198
Belize,26.17763
Benin,20.33333
Bhutan,20.08593
Bolivia,22.59546
Botswana,27.11159
Brazil,23.0973
Brunei,25.1461
Bulgaria,24.15979
Burkina Faso,19.3994
Burundi,22.46303
Cambodia,22.3
Cameroon,20.15106
Canada,26.75706
Cape Verde,25.6869
Central African rep.,19.40877
Chad,18.34
Chile,23.37176
China,23.31162
Colombia,23.00436
Comoros,23.615
Congo. Dem. Rep.,
Congo. Rep.,
Costa Rica,23.39002
Cote d'Ivoire,22.00293
Croatia,26.23072
Cuba,
Cyprus,25.21969
Czech rep.,27.62325
Denmark,30.84736
Dominican rep.,21.47468
Ecuador,21.55467
Egypt,23.63007
El Salvador,22.28621
Equatorial Guinea,
Eritrea,20.555
Estonia,27.58297
Ethiopia,20.5055
Fiji,22.89529
Finland,30.53719
France,30.96427
French Guiana,31.69898
French Polynesia,29.86707
Gabon,22.10285
Gambia,19.6467
Georgia,22.46739
Germany,30.12885
Ghana,22.4498
Greece,26.94385
Guadeloupe,31.57428
Guam,24.36248
Guatemala,20.45074
Guinea,18.72
Guyana,27.79589
Haiti,22.27551
Honduras,20.35042
Hong Kong. China,28.6178
Hungary,27.85076
Iceland,27.51238
India,19.93958
Indonesia,22.11224
Iran,22.14466
Iraq,24.84131
Ireland,30.71268
Israel,25.8736
Italy,29.16758
Jamaica,33.20292
Japan,28.57219
Jordan,25.86478
Kazakhstan,23.35925
Kenya,21.44778
Korea. Rep.,27.06896
Kuwait,25.06534
Kyrgyzstan,21.84411
Latvia,28.15732
Lebanon,
Lesotho,21.30995
Liberia,20.1608
Libya,29.1911
Lithuania,26.13405
Luxembourg,27.83594
macao. China,26.36223
Macedonia. FYR,22.8784
Madagascar,19.84912
Malawi,18.945
Malaysia,25.11786
Maldives,21.82093
Mali,18.49
Malta,
Martinique,33.26954
Mauritania,21.77551
Mauritius,22.55157
Mexico,22.73023
Moldova,20.87334
Mongolia,23.65854
Montenegro,25.93799
Morocco,26.4413
Mozambique,18.7386
Myanmar,24.54447
Namibia,27.52589
Nepal,18.97566
Netherlands,30.51454
Netherlands Antilles,30.22594
New Caledonia,30.37372
New Zealand,30.00538
Nicaragua,20.44892
Niger,17.6002
Nigeria,20.90817
Norway,31.62253
Oman,21.6717
Pakistan,22.12841
Panama,21.91864
Papua New Guinea,20.8016
Paraguay,22.69565
Peru,23.56531
Philippines,23.18325
Poland,25.29973
Portugal,23.93019
Puerto Rico,22.5851
Qatar,25.7856
Reunion,30.50816
Romania,25.30127
Russia,23.58974
Rwanda,22.57836
Saint Lucia,32.26
Saint Vincent and the Grenadines,30.92765
Samoa,23.94953
Sao Tome and Principe,17.75862
Saudi Arabia,25.83798
Senegal,21.53654
Serbia,25.93799
Sierra Leone,19.75572
Singapore,26.50677
Slovak Republic,26.36462
Slovenia,30.29514
Solomon Islands,21.22816
South Africa,27.9038
Spain,29.30578
Sri Lanka,25.26371
Sudan,22.66633
Suriname,
Swaziland,25.95965
Sweden,32.40498
Switzerland,29.11519
Syria,
Taiwan,27.8
Tajikistan,20.91414
Tanzania,19.96926
Thailand,24.0561
Togo,21.34905
Tonga,25.50242
Trinidad and Tobago,26.78061
Tunisia,29.2
Turkey,23.04791
Turkmenistan,23.36683
Uganda,20.24704
Ukraine,22.81654
United Arab Emirates,23.08674
United Kingdom,29.75162
United States,25.3
Uruguay,23.30049
Uzbekistan,20.58316
Vanuatu,22.60803
Venezuela,22.7484
West Bank and Gaza,22.86449
Western Sahara,
VietNam,23.21391
Virgin Islands (U.S.),29.91012
Yemen. Rep.,21.67
Zambia,20.53106
Zimbabwe,21.03119
