Station,YearTime,NO2
Belgium-BETR801,1990,129.015
Belgium-BETR801,1991,129.015
Belgium-BETR801,1992,129.015
Belgium-BETR801,1993,129.015
Belgium-BETR801,1994,129.015
Belgium-BETR801,1995,129.015
Belgium-BETR801,1996,129.015
Belgium-BETR801,1997,129.015
Belgium-BETR801,1998,129.015
Belgium-BETR801,1999,129.015
Belgium-BETR801,2000,129.015
Belgium-BETR801,2001,129.015
Belgium-BETR801,2002,129.015
Belgium-BETR801,2003,129.015
Belgium-BETR801,2004,129.015
Belgium-BETR801,2005,129.015
Belgium-BETR801,2006,129.015
Belgium-BETR801,2008,129.015
Belgium-BETR801,2007,129.015
Belgium-BETR801,2009,129.015
Belgium-BETR801,2010,129.015
Belgium-BETR801,2011,225.588
Belgium-BETR801,2012,227.128
Belgium-BETR801,2013,255.672
Belgium-BETR801,2014,268.222
Belgium-BETR801,2015,279.776
Bulgaria-BG0026,1990,119.215
Bulgaria-BG0026,1991,119.840
Bulgaria-BG0026,1992,172.465
Bulgaria-BG0026,1993,173.090
Bulgaria-BG0026,1994,173.717
Bulgaria-BG0026,1995,174.344
Bulgaria-BG0026,1996,174.971
Bulgaria-BG0026,1997,175.170
Bulgaria-BG0026,1998,176.229
Bulgaria-BG0026,1999,176.858
Bulgaria-BG0026,2000,177.489
Bulgaria-BG0026,2001,178.119
Bulgaria-BG0026,2002,178.751
Bulgaria-BG0026,2003,179.383
Bulgaria-BG0026,2004,190.016
Bulgaria-BG0026,2005,190.650
Bulgaria-BG0026,2006,191.284
Bulgaria-BG0026,2008,191.919
Bulgaria-BG0026,2007,192.554
Bulgaria-BG0026,2009,193.191
Bulgaria-BG0026,2010,193.827
Bulgaria-BG0026,2011,195.134
Bulgaria-BG0026,2012,196.443
Bulgaria-BG0026,2013,197.755
Bulgaria-BG0026,2014,199.070
Bulgaria-BG0026,2015,225.387
Switzerland-CH0001,1990,195.254
Switzerland-CH0001,1991,195.235
Switzerland-CH0001,1992,195.216
Switzerland-CH0001,1993,195.197
Switzerland-CH0001,1994,195.178
Switzerland-CH0001,1995,195.159
Switzerland-CH0001,1996,195.140
Switzerland-CH0001,1997,195.121
Switzerland-CH0001,1998,195.103
Switzerland-CH0001,1999,195.084
Switzerland-CH0001,2000,195.065
Switzerland-CH0001,2001,195.046
Switzerland-CH0001,2002,195.027
Switzerland-CH0001,2003,195.008
Switzerland-CH0001,2004,215.989
Switzerland-CH0001,2005,215.970
Switzerland-CH0001,2006,215.952
Switzerland-CH0001,2008,215.933
Switzerland-CH0001,2007,215.914
Switzerland-CH0001,2009,215.895
Switzerland-CH0001,2010,215.876
Switzerland-CH0001,2011,255.696
Switzerland-CH0001,2012,260.596
Switzerland-CH0001,2013,265.576
Switzerland-CH0001,2014,267.638
Switzerland-CH0001,2015,280.782
Cyprus-CY0002,1990,179.454
Cyprus-CY0002,1991,179.454
Cyprus-CY0002,1992,179.454
Cyprus-CY0002,1993,179.454
Cyprus-CY0002,1994,179.454
Cyprus-CY0002,1995,179.454
Cyprus-CY0002,1996,179.454
Cyprus-CY0002,1997,179.454
Cyprus-CY0002,1998,179.454
Cyprus-CY0002,1999,179.454
Cyprus-CY0002,2000,179.454
Cyprus-CY0002,2001,179.454
Cyprus-CY0002,2002,179.454
Cyprus-CY0002,2003,179.454
Cyprus-CY0002,2004,179.454
Cyprus-CY0002,2005,179.454
Cyprus-CY0002,2006,179.454
Cyprus-CY0002,2008,179.454
Cyprus-CY0002,2007,179.454
Cyprus-CY0002,2009,179.454
Cyprus-CY0002,2010,179.454
Cyprus-CY0002,2011,211.644
Cyprus-CY0002,2012,213.841
Cyprus-CY0002,2013,225.046
Cyprus-CY0002,2014,227.257
Cyprus-CY0002,2015,298.476
Czech Republic-CZ0SBN,1990,1217.123
Czech Republic-CZ0SBN,1991,1262.214
Czech Republic-CZ0SBN,1992,1264.309
Czech Republic-CZ0SBN,1993,1266.407
Czech Republic-CZ0SBN,1994,1268.509
Czech Republic-CZ0SBN,1995,1270.194
Czech Republic-CZ0SBN,1996,1272.722
Czech Republic-CZ0SBN,1997,1274.834
Czech Republic-CZ0SBN,1998,1276.950
Czech Republic-CZ0SBN,1999,1279.069
Czech Republic-CZ0SBN,2000,1281.192
Czech Republic-CZ0SBN,2001,1283.318
Czech Republic-CZ0SBN,2002,1285.447
Czech Republic-CZ0SBN,2003,1287.580
Czech Republic-CZ0SBN,2004,1289.717
Czech Republic-CZ0SBN,2005,1291.857
Czech Republic-CZ0SBN,2006,1294.001
Czech Republic-CZ0SBN,2008,1296.149
Czech Republic-CZ0SBN,2007,1298.300
Czech Republic-CZ0SBN,2009,1300.454
Czech Republic-CZ0SBN,2010,1302.192
Czech Republic-CZ0SBN,2011,1317.904
Czech Republic-CZ0SBN,2012,1333.375
Czech Republic-CZ0SBN,2013,1349.027
Czech Republic-CZ0SBN,2014,1364.864
Czech Republic-CZ0SBN,2015,1380.886
Germany-DENW178D,1990,359.933
Germany-DENW178D,1991,359.933
Germany-DENW178D,1992,359.933
Germany-DENW178D,1993,359.933
Germany-DENW178D,1994,359.933
Germany-DENW178D,1995,359.933
Germany-DENW178D,1996,359.933
Germany-DENW178D,1997,359.933
Germany-DENW178D,1998,359.933
Germany-DENW178D,1999,359.933
Germany-DENW178D,2000,359.933
Germany-DENW178D,2001,359.933
Germany-DENW178D,2002,359.933
Germany-DENW178D,2003,359.933
Germany-DENW178D,2004,359.933
Germany-DENW178D,2005,359.933
Germany-DENW178D,2006,359.933
Germany-DENW178D,2008,359.933
Germany-DENW178D,2007,359.933
Germany-DENW178D,2009,359.933
Germany-DENW178D,2010,359.933
Germany-DENW178D,2011,319.620
Germany-DENW178D,2012,363.316
Germany-DENW178D,2013,365.020
Germany-DENW178D,2014,366.731
Germany-DENW178D,2015,368.451
Spain-ES1172A2,1990,775.669
Spain-ES1172A2,1991,775.669
Spain-ES1172A2,1992,775.669
Spain-ES1172A2,1993,775.669
Spain-ES1172A2,1994,775.669
